Calamarain	this_burns!	see {this_burns}
firippu	food_poisoning	If you eat a corpse that is too old, you will "feel deathly sick". Death follows in 10-19 turns (reduced if eat additional tainted food) if not cured.
psyklops	food_poisoning	If you are in your wereform after acquiring lycanthropy, you do not return to human form, it is permanent death.
psyklops	food_poisoning	Cures are: Blessed potion of healing, non-cursed full/extra healing, holy water (unless chaotic), eucalyptus leaf, the Cure Sickness spell, and unihorn. You can also #pray or poly into your own form or a sickness-resistant monster, or vomit.
aristotle73	you_feel_controlled	You have just gained intrinsic teleport control.
paxed	pickup_types	Configuration option.  Specify the object types to be picked up when autopickup is on.
Eidolos	your_health_currently_feels_amplified!	see {shock resistance}
Grognor	battle-axe	see {axe_damage}
billnye	whinnies	Possible response by an equine pet when #chatted:  indicates hungry and a tameness of 5 or better.
dtype	yellow_light	These little devils will suicide explode on you, causing 10d20 turns of blindness unless you are already blind, or unless they miss you due to displacement or invisibility.
SheeEttin	glow_red	see {your hands begin to glow red}
Stevie	shrieks_in_pain	"<monster> writhes/shrieks in pain!" The potion that just hit it was either acid, or for werefoo, possibly holy water.
Shikaku	shrieks_in_pain	potion of acid
dasunt	user_friendly	A geek web cartoon that occasionally mentions nethack.  http://www.userfriendly.org is the website, while http://www.nethack.org lists the strips about nethack.
mitchell	vegetarian_food	Vegetarian foods are all vegan foods with the addition of all P except black puddings, eggs, candy bars, pancakes, fortune cookies, royal jelly, and objects made of wax.  Eating non-vegetarian things in strange ways, such as eating brains as a mind-flayer or digesting things with a digest attack is also presumably fobidden by vegetarianism.
paxed	vampire_lord	Speed 14, AC 0, magic resistance 50%, sleep and poison resistant.  Does damage in melee for 1d8 + 1d8, and can drain levels.
paxed	evil_coward	A lawful character using a poisoned weapon to hit a monster will feel "like an evil coward" and get -1 alignment penalty.
billnye	foodless_polyless_atheist	Yes, it's been done (and more, I'm sure.)  see: http://groups.google.com/groups?selm=9q0579%2421c%241%40news-int.gatech.edu&output=gplain
dstorrs	seems_not_to_notice_you	You attempted to #chat with a sleeping monster that wasn't a priest. (A priest would wake up.)
Hellzon	ydsm	see {yellow dragon scale mail}
paxed	msg_window	Configuration option.  How recalled messages are displayed: eg. "msg_window:s", s=single message, c=combination, f=full window, r=reversed full window.
Eidolos	msg_window	If msg_window:combination is on, hitting ^P does a single line the first two times, then goes to the full mode on the third. If reverse, newer messages are displayed higher than older messages.
lorimer	tentacle_porn	Pervert!
PsyMar	tentacle_porn	Sn@&;
dasunt	garnet	A soft red gem worth 700 zorkmids.
Cheapy	banshee	It warns you when you have low health.
billnye	you_feel_awake	 Congrats, you just achieved sleep resist by leveling up (XL1 as monk or XL4 as elf)
scwizard	deliberately_meeting_medusa's_gaze	How to be petrified by deliberately meeting Medusa's gaze
scwizard	deliberately_meeting_medusa's_gaze	Step 1: Dig down past Medusa's lair (keep track of what level it's on)
scwizard	deliberately_meeting_medusa's_gaze	Step 2: Gather the following items: Blessed amulet of life saving, ring of polymorph control, wand of polymorph, ring of stealth (if you don't have it intrinsically), boots of speed. Put on or wear all the items mentioned above.
scwizard	deliberately_meeting_medusa's_gaze	Step 3: On the upstairs leading to Medusa's lair polymorph into an umber hulk
scwizard	deliberately_meeting_medusa's_gaze	Step 4: Go upstairs, Medusa should be alseep and you should not be stone. If medusa is awake then you messed up.
scwizard	deliberately_meeting_medusa's_gaze	Step 5: Attack Medusa, you'll turn to stone but your amulet should save you. It should then be your turn.
scwizard	deliberately_meeting_medusa's_gaze	Step 6: #monster
scwizard	deliberately_meeting_medusa's_gaze	Step 7: Your gaze confuses Medusa! Gazing at the awake Medusa is not a very good idea. You turn to stone...
firippu	create_familiar	Level 6 clerical spell.  1/3 chance to create a tame <PetType>, 2/3 chance to create a tame random monster (if that type of monster can be tamed).
lorimer	create_familiar	Create Familiar calls the same random-monster routines that all other parts of the game use to generate a monster, except that the monster will always be tame.  This means that your familiar will always be roughly the same grade as the stuff you're currently fighting.
lorimer	create_familiar	This also means that casting it deep in Gehennom or Astral are your best bets for getting some real nasty pets.
GreyMario	scritch_scritch	see {scritch,_scritch}
Eidolos	ring	The rings are: adornment, gain strength, gain constitution, increase accuracy, increase damage, protection, regeneration, searching, stealth, sustain ability, levitation, hunger, aggravate monster, conflict, warning, poison resist, fire resist, cold resist, shock resist, free action, slow digestion, teleport, teleport control, polymorph, polymorph control, invisibility, see invisible, and protection from shape changers
itsblah	ring	The default symbol is '='.
SpeedEvil	ring	You can charge some types of rings. Blessed charging may charge it by up to 3, uncursed charging only 1. Rings have a (current charge)/7 chance of exploding. This increases the enchantment of the ring - for a ring of protection the AC bonus, for example. Does nothing to some rings.
Dentarthurdent	ring	Eating some rings can grant intrinsics.
Dentarthurdent	ring	If you are polymorphed into a rust monster, you can eat rings with the following appearances: pearl, iron, twisted, steel, wire, engagement, and shiny.  As a rock mole or xorn, you can eat those rings, and also bronze, brass, copper, silver, and gold.  Gelatinous cubes can eat wooden rings.
ihope	ring	All rings weigh 3 except the meat ring, which weighs only 1.
jmr	ring	See: http://www.steelypips.org/nethack/343/ring-343.html and also: http://www.steelypips.org/nethack/343/rint-343.html
scorchgeek	hilted_polearm	see {ranseur}
tweek__	stinking_cloud	Creates a poison gas cloud that blinds and does damage to any living, breathing, non-poison-resistant monster inside of it.
tweek__	stinking_cloud	A cursed scroll will generate a cloud of radius 2 that will dissipate in d3+3 turns, with damage d4+5 until the last two turns of the cloud's life. Uncursed scrolls give radius 3, d3+5 cloud duration, and d8+5 damage (d4+5 damage during the last two turns). Blessed gives radius 4, d3+7 cloud duration, and d12+5 damage, d6+5 damage during last four turns, and d3+5 in last two rounds.
tweek__	stinking_cloud	Always identified when read ("You have found a scroll of stinking cloud!") and must be used at some spot that is visible to you that is (generally) five squares away or less. If used too far away, no effect ("You smell rotten eggs.")
tweek__	stinking_cloud	info {base cost:300; weight: 5; marker charges: 20}
tweek__	stinking_cloud	Try using them in: zoos, the room at the top of Sokoban, the big room, leprechaun halls...
paxed	bell	When applied, a cursed bell has a chance of summoning a nymph with no inventory. This feature stops working entirely as soon as a single species of nymph has become extinct or genocided.
paxed	bell	If you find a bell on a grave with the text "Saved by the bell", it's not that rare.  The bell is a normal bell.
paxed	bell	Ringing a bell also wakes up nearby monsters.
Cheapy	bell	It also calls pets. (Not teleports them to you, as is the case of a magic whistle.)
paxed	crowning	When praying on an altar, your god can crown you, if you're pious or better, and you haven't already been crowned.
paxed	crowning	When crowned, you'll gain see invisible, fire, cold, shock, sleep and poison resistances.
paxed	crowning	Lawfuls will be crowned The Hand of Elbereth, Neutrals Envoy of Balance, Chaotics Glory of Arioch.  Lawfuls will also get Excalibur, neutrals Vorpal Blade, and chaotics Stormbringer. (Your god will unrestrict the relevant weapon skill.)
greycat	crowning	Exceptions: when crowned, wizards get a spellbook of finger of death; monks, a spellbook of restore ability.
jilles	crowning	Wizards won't get a spellbook if they are wielding Vorpal Blade or Stormbringer.
jilles	crowning	Monks won't get a spellbook if they are wielding any artifact weapon, instead getting Vorpal Blade or Stormbringer, if neutral or chaotic, respectively.
jilles	crowning	Greatly increases prayer timeout.
itsblah	crowning	Crowning also unrestricts you in your crowning artifact (regardless of receiving it or not) and your current weapon if you do not receive a gift; it also rustproofs and fixes your current weapon, and sets it to +1  if it was below that.
Eidolos	crowning	Changing your alignment (either through a badly-aligned #offer or wearing the helmet) doesn't remove your crowning.
dho	crowning	00:01 < kriebly> getting crowned by your god gives little benefit, but it does look nice on your resume.
Ashke	object_detection	You detect objects on that level and exercise your wisdom.
ais523	object_detection	If cursed, shows mimics as objects; if blessed, you can farlook objects to see their descriptions.
kerio92	object_detection	The detect treasure spell acts as an uncursed potion of object detection if your skill in divination spells is Basic or lower, and as a blessed potion of object detection if you're at least Skilled in divination spells.
o11c	object_detection	base price is 150
paxed	lit_corridor	Configuration option.  Distinguish visually between lit and unlit corridors.
ylmson	monster_clerical_spells	The following clerical spells can be cast by monsters (at specified level): Open Wounds (0), Cure Self (1), Confusion (2-3), Paralize (4-5), Blind (6-7), Summon Insects (8), Curse Items (9-10), Lightning (11), Pillar of Fire (12), Geyser (13)
ylmson	monster_clerical_spells	monsters that can cast clerical spells (with base level): abbot(5), acolyte(5), aligned priest(12), high priest(25), master kaen(25), arch priest(25), grand master(25)
Shimei	foo	Also known as a metasyntactic variable. Variable that stands for something in the metalanguage of a discussion.
Violist	foo	A term used for a variable in a name. Foocubus could be either an incubus or a succubus, footrice could be cockatrice or chickatrice.
dasunt	`	Symbol: '`'  A boulder or statue, by default.  Some people configure boulders to by represented by a zero '0' instead.
billnye	reading_prob	see {spell_learning}
aristotle73	unaligned_altar	This altar belongs to the evil god Moloch.  If it's in your Quest, you can safely try to convert it via sacrificing.  If in Gehennom (including the Valley), doing so will anger your God and nullify your ability to pray until your God has been appeased.
cognificent	sasquatch	Strongest ape. Bonus to kick (like monks and samurai), because of their Big Feet. Nutrition 750.
Zeffrin	sasquatch	Eaten: sasquatch   Nutr: 750
o11c	sasquatch	Speed: 15, Attack 2d6+d8
paxed	wizard_lock	2nd lvl matter spell. Locks doors, chests, boxes, etc, and creates doors in empty doorways. Fixes broken locks, and also closes drawbridges.
runcible	slime	see {green_slime}
SpeedEvil	summon_nasties	see {nasties}
greycat	stalker	Formerly known as the "invisible stalker", this monster is now simply called "stalker", but since it also happens to be invisible, it's called an "invisible stalker", too.  See?
greycat	stalker	Eating a stalker corpse while you're already invisible grants you permanent invisibility and intrinsic see invisible.
jilles	stalker	Eating a stalker corpse also stuns you for 60 (additional) turns.
Zeffrin	stalker	Eaten: stalker   Nutr: 400   Effects:   Stun (60)   Intrinsic: Invisibility
Stevie-O	puddingbane	Usually a highly rusted iron helmet or skeleton key/lock pick, used to split brown and black puddings in order to farm them. The name is a joke based on the many crap monster-specific artifacts such as Dragonbane, Trollsbane, etc.
Elliott	puddingbane	You should use an orcish dagger or a scalpel (knife if you can't find a scalpel) not a key, whichever you are unskilled in. Engrave it to -3, and the damage done when rusted should be 1 per hit. With a non-weapon, damage will be 1 + str bonus per hit.
billnye	puddingbane	the drawback to using a weapon instead of a tool is that your altar prayers (you are farming an altar, right?) will occasionally result in the weapon being repaired.
azgor	puddingbane	You can solve this problem by switching to your alternate weapon before praying.  It's a good idea to have a proper weapon handy anyway just in case something nasty sneaks up on you.
azgor	puddingbane	Unarmed combat while wearing iron gloves or an iron ring will not split puddings.  However, you can split puddings with these items if you wield them.  (iron wands work too when wielded)
TheShrewdDude	puddingbane	See [Breadknife] for more details.
elajt	titanothere	Level 12, speed 12, AC 6, MR 0. No resistances. Damage 2d8.
_bryce	titanothere	Makes a good pet, although it has a penchant for picking fights with shopkeepers.
Zeffrin	titanothere	Eaten: titanothere   Nutr: 650
paxed	koto	Japanese wooden harp.
scwizard	mysterious_force	That evil power which prevents you from teleporting
TheShrewdDude	mysterious_force	It is a side effect of possessing the Amulet of Yendor, and applies to monsters, too - so don't bother!
TheShrewdDude	mysterious_force	This will block all attempts at level teleporting, and in Gehennom, it will occasionally drag you down a level or three when you try to go upstairs.
Zauren	mysterious_force	If you are chaotic, you will slip down up to one level, neutral up to two, and lawful up to three. You can end up on the same level, and in all cases are teleported to a random location.
Zauren	majuk	Some random guy in #Nethack. He's not ascended yet. Zauren mocks him for this since.
Stevie	you_feel_in_good_health_again	You #prayed, and your god restored an ability that had been drained (e.g. strength, by poisoning). This acts like a blessed !oRestoreAbility, healing all attributes to their previous highest value.
Eidolos	ipbt	A "high-tech ttyrec player"; ipbt allows you to rewind, and go directly to specific frames, and so on.
Eidolos	ipbt	Only downside is ipbt requires a lot of preprocessing time for a ttyrec, so it's handy to keep an ordinary ttyrec player (like jilles' playttyrec) around as well.
Eidolos	ipbt	Download it at http://www.chiark.greenend.org.uk/~sgtatham/ipbt/ (it's written by the same guy who made PuTTY!)
runcible	movement_commands	[YUHJKLBN] Go in that direction until you hit a wall or run into something -- g[dir]: move until something interesting is found -- G[dir] or <ctrl>[dir]: same as g, but forking of corridors is not considered interesting -- m[dir]: move without picking up objects or fighting (even if you remember a monster there)
runcible	movement_commands	F[dir]: fight a monster (even if you only guess one is there) -- M[dir]: move far, no pickup. -- If the number_pad option is set, the number keys move instead. Depending on the platform, Shift number (on the numberpad), Meta number, or Alt number will invoke the YUHJKLBN commands -- 5[dir] does G/ctrl[dir]
runcible	movement_commands	ctrl[dir] may or may not work when number_pad is enabled, depending on the platform's capabilities -- travel: _[choose spot or type symbol (for example: _> to place cursor on downstairs if visible)]: move via a shortest-path algorithm to a point on the map
tsuteiuQ	helm_of_opposite_alignment	Unidentified appearence is either the crested, etched, plumed or visored helmet.  When worn, will auto-curse, remove protection and change your alignment. (Your alignment will change back when the helm is removed.)
Garin	the_ring_is_regurgitated	ring of slow digestion
Stevie	scroll_of_genocide	When noncursed, wipes a monster (or if blessed, a group of monsters) out of the game. Every monster of that type is completely wiped out, and one of them can never exist in the game again.
Stevie	scroll_of_genocide	Base price $300, takes 15-29 marker charges to write.
scorchgeek	iron_piercer	Speed 1, attack 3d6. Rarely a threat.
Zeffrin	iron_piercer	Eaten: iron piercer   Nutr: 300
scorchgeek	you_hear_ebenezer_scrooge	There is a vault on the level, and you are hallucinating.
scorchgeek	the_lid_slams_open_then_falls_shut	You kicked an box that was already unlocked.
SpeedEvil	pet	see {pets}
nailbunny	you_feel_like_a_new_gnome	Message given when a gnome polymorphs but does not change race. Stats are re-rolled.
Sgeo	spelunker_today	"<archaeologist> describes a recent article in "Spelunker Today" magazine." You #chat'ed to a peaceful archaeologist.
Sgeo	spelunker_today	"Spelunker Today" is a reference to the original ADVENT game exploring Colossal Cave.
lorimer	undead	Undead do extra damage during the midnight hour (ie. when the server's clock reads 00:XX:XX).
lorimer	undead	This damage comes in the form of an extra set of damage rolls:  ie, a mummy that does 3d4 per hit will actually do 3d4 + 3d4 per hit
GreyKnight	stilleto	see {stiletto}
_Q	weight_test	The preferred method for identifying a potential bag of holding.
_Q	weight_test	First, pick up enough items until you just barely become burdened.
_Q	weight_test	Next, put several of the items into your bag (taking care to avoid wands of cancellation and other bags).
_Q	weight_test	If, upon placing the items in the bag, you become unburdened, then you possess a bag of holding.
dasunt	rider	Traditionally, there are four riders - Death, Famine, Pestilence, and War.
dasunt	rider	You'll see the first three riders on the astral plane. Death drains hps, famine makes you hungry, pestilence makes you sick. All three are & symbols, all are resistant to almost everything, and eating their corpses is instantly fatal. The fourth rider is not as obvious, but if you look at the source, chat with one of the riders, or try to tin one of the riders, you'll figure it out. (Big hint: He or she's shown by a @)
greycat	rider	The three riders have no distance attacks, but are quite potent in melee.  They are best killed with magic missiles, or thrown/fired traditional missiles, or wand/finger of death (except for Death).
Sgeo	rider	#chatting with Riders other than Death, or 9/10 chance if Death, results in "Who do you think you are, War?". Otherwise (Death and 1/10 chance) "Death is busy reading a copy of Sandman #8."
paxed	!pom	Phase of the Moon.  Absolutely important function when it's cloudy, or the moon is on the other side of the planet.
Zealot	"or	Amulet of Reflection.
towo	tgwawod	The Gnome With A Wand Of Death. A really silly YASD
paxed	!lg	http://alt.org/nethack/Rodney/lg.txt
Jafet	!lg	Use !lg via private message.
assended	satiated	see {nutrition}
paxed	large_cat	Speed 15, AC 4, bites for 2d4 damage.  Eating its corpse gives you aggravate monster intrinsic, unless you're exempt from cannibalism.
Zeffrin	large_cat	Eaten: large cat   Nutr: 250   Effects: Aggravate
ix_	glass_orb	see {crystal_ball}
Nexos	instakill	Instantaneous death. Very frustrating.
Nexos	instakill	Examples: killer bee attack while not poison resistant, zapped wand of death while not magic resistant, footrice touching.
dasunt	blue_dragon_scale_mail	Blue dragon scale mail drops AC by 9 and provides shock resistance while not hindering spell casting.
CydeWeys	blue_dragon_scale_mail	Weighs 40.
xepsilon	footrice	Cockatrice and/or chickatrice.
GreyMario	long_poleaxe	see {bardiche}
greycat	raijin	The neutral god of the Samurai pantheon.
joshk	raijin	The Samurai neutral god.
CydeWeys	orcish_ring_mail	Lowers AC by 2.  Weighs 250.  This is terrible armor.
CydeWeys	jerkwhistle	Top contender in the race for most deaths with least total score.
yaymukund	you_feel_less_attractive	You lost aggravate monster intrinsic from a gremlin's attack.
paxed	summoning_storm	Archons, Titans and Liches can cause a kind of cascade, summoning other monsters, which will keep summoning others.
tsuteiuQ	juiblex	One of the guaranteed demon lords found in Gehennom. He'll swallow and sicken you, so be prepared to either /oDig your way out (reduces him to 1hp), kill him, then cure yourself (holy water or blessed unihorn), or just wail on him from inside and then cure yourself.
Babamus	juiblex	The only monster which you can just kill once; he is stoning resistant and doesn't leave a corpse.
kenzie	juiblex	Flies, floats, flows under doors, amphibious, headless, sees invisible, acidic and poisonous if eaten.
SheeEttin_	juiblex	Attempts at pluralization are futile. (Juiblexen?)
ais523	juiblex	Juiblex only causes illness when he engulfs you or when he teleports to the stairs.
omniscientist	clump_of_sticks	If a priest tries to summon insects, but all insects have become extinct/genocided, they will instead transform a clump of sticks into snakes.
omniscientist	clump_of_sticks	If the priest casts at a clump of sticks, but nothing happens, then that means all of the species of snake are extinct or genocided.
braindancer	#nethack:!nopaste	http://www.pastebin.com
joshk	fumble_gloves	see {fumble}
paxed	fixed	"fixed" is officially only used for crysknives, but as the fixed bit is the same as rust/rot/corrode/fooproof bit (for now), they're synonymous.
eternaljwh	you_get_a_bad_feeling_about_this	Figurine generated a hostile monster.
itsblah	gazatteer	see {gazetteer}
jmr	weapons	"Which weapons should I use?" See for ideas: http://www.steelypips.org/nethack/343/weap-343.html
Nodey	arch-lichen	Arch-lichens are small creatures, very fast, and can do up to 6x9d12 with its numerous touches of death. They are not genocidable, do not respect Elbereth, and cannot be shielded from by #praying invulnerability. Attempting to eat the corpse of an Arch-lichen will cause the server to seek the nearest bones file and polymorph you indefinitely into that individual.
Nodey	arch-lichen	They have AC -78, MR100, and have intrinsic reflection. They are capable of casting the Groping of Death. When not Groping, its attacks brings swift retribution unmatched by even the Riders. Along with disenchantment ability, arch-lichens are THE most formidable monsters in the NetHack bestiary.
lament	arch-lichen	Arch-lichens multiply when hit by any weapon or beam, with the new lichen having twice the HP of the old one. They are also capable of summoning demons and insects. They will teleport next to you, even from a different dungeon level, including ones you haven't visited, when the time is "appropriate".
Nodey	arch-lichen	Arch-lichens, or Fwagglebrapo in Quenya, are a deadly race of...  things. They were first fwapped into creation by the omnipotent RNG for the sole purpose of executing overtly lucky adventurers. In Its omnipotence, however, the RNG discovered that he had made a creature that even He cannot kill. Naturally, it follows that no divine intervention can protect an adventurer from the wrath of an arch-lichen.
Nodey	arch-lichen	Really bad and rudimentary patch by Nodey at http://sfcalc.sourceforge.net/nethack-3.4.3-arch-lichen.diff ; Windows console compiles for said patch http://sfcalc.sourceforge.net/nethack-3.4.3-arch-lichen.zip
i|	arch-lichen	Getting killed by an arch-lichen sets the KILLER variable to "lichen", not "arch-lichen".
dho	single-edged_polearm	see {glaive}
greycat	archaeologist	see {archeologist}
Sgeo	unrefrigerated_sip_of_juice	You were poison resistant, but contaminated water from a fountain still killed you.
Glammie	turns_into_a_pretzel	"Your mind turns into a pretzel!" - you have been confused by sitting on a throne.  This is plain old regular confusion.
CatEater	90%_cursed	You can identify some randomly appearing items by their probability of being cursed. Item groups that might be 90% cursed: rings, amulets, boots, gloves, and helmets.
dasunt	famine	Nasty fellow that's found on the astral plane.  Attack makes you hungry (makes you lose 40-79 nutrition).  Resistant to almost everything.
Danirijeka	famine	It is not resistant to drain life and death magic, though, so those two work like a charm. Especially if you can repeatedly drain his level to the point that any leveldrain is an instakill.
dasunt	famine	Revelation 6:4-5 "..And I beheld, and lo a black horse; and he that sat on him had a pair of balances in his hand.  And I heard a voice in the midst of the four beasts say, A measure of wheat for a penny, and three measures of barley for a penny; and see thou hurt not the oil and the wine."
Zeffrin	famine	Eaten: Famine   Nutr: 1   Effects: DIE
Irashtar	boomerang	a quite rare weapon, when thrown, will curve in a circle to the right, returning to you. good for exersising DEX, but can hurt you if you don't catch it
itsblah	boomerang	Does not return to you if it hits something, since it will land on the ground after hitting something.
Cheapy|	boomerang	Has a +4 to-hit bonus.
Lorenz	boomerang	It circles clockwise.
Eidolos	you_feel_cool	You've got fire resistance!
kerio92	you_feel_cool	The Fonz started with this intrinsic.
joshk	recursive	see {recursive}
stumbly	gt	Go Team $ARGS!
dasunt	jasper	A soft red gem worth 500 zorkmids.
lorimer	what_do_i_wish_for	SDSM, GDSM, speed boots, 2 blessed scrolls of charging, cloak of magic resistance, magic marker, grayswandir, magicbane, staff of aesculapius, eyes, eye, orb of fate, master key of thievery, charm monster, finger of death, amulet of life saving, sceptre of might, ring of conflict, ring of levitation, ring of free action, chickatrice corpse, blessed figurine of an Archon
lorimer	what_do_i_wish_for	Unless you already have all of those allowed by your alignment, one of those.
Eidolos	scepter_of_might	see {sceptre of might}
CydeWeys	umber_hulk	A huge insect.  It will dig through walls and can confuse you with its stare.
_bryce	umber_hulk	Umber hulks are not resistant to sleep.
_bryce	umber_hulk	Note that the confuse attack is ranged, it is not necessary to be next to it to get confused.
marginoferror	umber_hulk	Using a mirror on an umber hulk will cause it to confuse itself.
Zeffrin	umber_hulk	Eaten: umber hulk     Nutr: 500
Zeffrin	winged_gargoyle	Eaten: winged gargoyle   Nutr: 300
SheeEttin	you_are_carrying_too_much_to_get_through	You are. Try throwing a spellbook or two through.
runcible	vegetarian	see {vegetarian_food}
Eliah	smoky_potion	Smoky potions have a chance of summoning a djinni when quaffed, milky potions may summon a ghost.  If something is summoned, the normal potion effect does not occur.
Poeir	smoky_potion	There is a 1/(13+2n) chance of summoning a djinni, where n is the number of djinn generated so far in this game.
Stevie-O	smoky_potion	If you get a djinni: if the potion was blessed, you have an 80% chance of getting a wish (woo!). Uncursed, 20% chance. Cursed, 5% chance.
firippu	wiff_of_smoke	Something used a bolt of fire and you smelt it instead of seeing it.
CydeWeys	ya	A japanese bamboo arrow.  It has +1 to hit over regular arrows and deals 1d7 damage to all enemies.  It costs 4 zorkmids and weighs 1.  Rarer than normal arrows.  Unidentified, it shows as "bamboo arrow".
Gaulgath	you_have_a_bad_feeling_about_this	You applied a figurine, but the monster generated was hostile.
BEHiker57W	full_moon	When the moon is full, your base luck is +1 instead of its usual value of 0.
billnye	full_moon	werefoo are much more likely to be in their creature form during a full moon, especially during nighttime (See {night} )
billnye	full_moon	also, tame dogs will reply with "[Dogley] howls." when chatted during a full moon, and are much harder to tame during full moon nights
BEHiker57W	full_moon	Nethack considers the full moon to last for three or four days.  Use Rodney's !pom command to get the current moon phase according to Nethack.
Nexos	you_feel_re-energized	You invoked the Mitre of Holiness and boosted your spell energy.
Nexos	you_feel_re-energized	More precisely, you regain half of the power points separating your current energy from your max energy.
greycat	lord_surtur	The Valkyrie quest nemesis (a giant humanoid "H").
Violist	lord_surtur	Don't forget E, if you have lousy AC.  He's not actually that hard, try doing him with 4 AC
Zeffrin	lord_surtur	Eaten: Lord Surtur   Nutr: 850   Effects:   Strength   Intrinsic: Fire: 50%
Problem	you_have_strayed	See {alignment}
hacken	you_hear_a_thud	Somewhere, where you can't see it, a monster polymorphed and its armor fell off.
Vino	displacement	If you have displacement, monsters will think you are on an adjacent square and miss you. They have a 25% chance of resisting its effects.
thebofh	displacement	If you are invisible as well as displaced, displacement will only affect monsters that can see invisible, as your displaced image will be invisible.
Stevie[FP]	displacement	Cloaks of displacement provide MC2.
Shimei	you_feel_hidden	Message given when you are invisible (temporary or an item) and gain permanent intrinsic invisibility and see invisible. You do not get the message if you were already permanently intrinsically invisible and gained see invisible.
paxed	locking_tools	see {unlocking_tools}
joshk	perseus	Perseus is a statue you'll find next to Medusa. His statue may contain: a sack, a shield of reflection, a scimitar, and/or boots of levitation. 
scorchgeek	perseus	The sack is always uncursed, the scimitar is always blessed and +2, the shield is always cursed and +0, and the levitation boots are always +0 and may be cursed.
SheeEttin	perseus	When Perseus' statue is stone to fleshed, it creates a knight named Perseus who is not very special.
Zadir	perseus	There's a chance the statue will be completely empty.
dasunt	food_appraisal	After reading a blessed scroll of food detection or casting the spell of detect food at skilled or better, you'll be warned if the food you are about to eat is tainted, will petrify, slime, be rotten, break Monk's vegetarian conduct, be acidic, be rustproof (if you are a rust monster) break vegan, or break vegetarian conduct (in that order).
SheeEttin	food_appraisal	Only lasts until you receive a warning.
AceTetra	scrl-343	http://www.steelypips.org/nethack/343/scrl-343.html
greycat	sad_feeling	"You have a sad feeling for a moment, then it passes."  Your pet just died.
OliverKlozoff	sad_feeling	"You feel sad for a moment". Your pet just starved (and is dead now). Shoulda fed it!
dtype	magical_armor	For polypiling, magical armor is cornuthaum, dunce cap, h of brilliance, h of opp align, h of telep, robe, elven cloak, alchemy smock, c of protect, c of invis, c of magic resist, s of reflect, g of fumbling/power/dex, spd boots, ww boots, jump boots, elven boots, kick boots, fumble boots, lev boots
dasunt	magical_armor	Magical armor has a 54% chance of turning into non-magical armor when polymorphed.
dasunt	gauntlets_of_dexterity	Sometimes abbreviated as GoD, these leather gauntlets add their enchantment to your dexterity.  Good choice for spellcasters.  If not enchanted, they will not auto-ID when worn.
dtype	cockatrice	A very dangerous opponent due to its ability to stone. Kill it from range or after cancelling it, and be _very_ careful with the corpse, if you get near it at all. If you do feel the stoning process, eat a lizard or acidic corpse immediately.
greycat	cockatrice	The live cockatrice is far less dangerous than the dead cockatrice.  The corpse of this beast should be treated as radioactive waste -- do not let it come into contact with your bare skin.
epyokkim	cockatrice	It is best to put a fresh cockatrice corpse into a bag, where it will rot, instead of allowing a nearby monster wield it against you.
racoon	cockatrice	Of course, don't have YASD (yet another stupid death) by putting it in your bag without gloves. Also, don't #offer it without gloves. All these warnings can be ignored if you have stoning resistance
koyaan	cockatrice	You can also get petrified by falling while wielding a corpse with gloves on.
Zadir	cockatrice	Be mindful of what inventory letter is assigned to the corpse, having it on "y", "n", or "e" is a recipe for disaster.
Zadir	cockatrice	Also try not to make the mistake of pressing e - (letter) instead of w - (letter) when playing hastily, that's another way to die stupidly.
PsyMar	cockatrice	There are 47 cockatrice-related ways to be petrified. Of these, 13 involve a live cockatrice.
PsyMar	cockatrice	"It is the letter 'c' and not 'e' that changes status to statue." -- rumors.tru
doy	cockatrice	If it's a new moon and you don't have a lizard corpse in your main inventory, a successful hiss attack is guaranteed to begin the stoning process, while it is only a 10% chance otherwise. It is not an attack that is affected by magic cancellation.
scwizard	cockatrice	Their corpses have a chance of granting poison resistance, if you're polymorphed into something stoning-resistant. Otherwise this is kind of irrelevant.
Zauren	cockatrice	Cockatrice eggs, wielded or thrown, cause insta-stoning. Polymorphing into one and using your own unhatched eggs is handy, but you get a luck penalty for each you break.
marcmagus	cockatrice	A cockatrice will hiss on 1/3 of successful touch attacks if it has not been cancelled.
Zeffrin	cockatrice	Eaten: cockatrice   Nutr: 30   Effects: Petrify     Intrinsic: Poison: 33%
paxed	diablo	Rather successful commercial game that borrowed shamelessly from the roguelike genre.  Graphics intensive and real-time.
greycat	diablo	Apparently, unlike Angband, "immune" in Diablo actually means "resistant".
ix_	potion_of_acid	Does 1d10 damage if it gets wet.
Calamarain	potion_of_acid	Drinking one of these will stop the stoning process - a good way for a vegan/vegetarian to keep the conduct in case of a stoning emergency
Eidolos	#nethack:aon?	$CHOICE(8*Supposedly|Allegedly|Reportedly|Admittedly|Apparently|Probably), alt.org/nethack: please use the acronym NAO! (or $CHOICE(else!|we'll be forced to slay you))
dasunt	:	Command: ':'  Look at what is here. It works while levitating (unless you are blind), and it doesn't take a turn (unless you are blind).
dasunt	:	Monster: ':'  Lizard and lizard-like things.  Newts (which are reptiles, right?), geckos, iguanas, useful lizards, chameleons (which don't usually appear as a ':'), (baby) crocodiles and salamanders.
argiopeweb	ncurses	New Curses.
